"","species","countryCode","stateProvince","locality","decimalLongitude","decimalLatitude","individualCount","gbifID","family","taxonRank","coordinateUncertaintyInMeters","year","basisOfRecord","institutionCode","collectionCode","decimalLongitude.1","decimalLatitude.1","optional"
"137540","Bixa orellana","BR","Minas Gerais","State Agricultural School, Viçosa",-42.868056,-20.761389,NA,2997967545,"Bixaceae","SPECIES",NA,1959,"PRESERVED_SPECIMEN","NY","NY",-42.868056,-20.761389,TRUE
"137601","Amphirrhox longifolia","BR","Espírito Santo","Linhares, 5 km S",-40.071944,-19.391111,NA,2997977546,"Violaceae","SPECIES",NA,1983,"PRESERVED_SPECIMEN","NY","NY",-40.071944,-19.391111,TRUE
"137608","Qualea cryptantha","BR","Espírito Santo","Reserva Florestal da CVRD. Est. JUEIRANA VERMELHA, km 0,720, lado esquerdo",-40.071944,-19.391111,NA,2997977619,"Vochysiaceae","SPECIES",NA,1980,"PRESERVED_SPECIMEN","NY","NY",-40.071944,-19.391111,TRUE
"137647","Aegiphila fluminensis","BR","Espírito Santo","Rod Linhares para Barro Novo",-40.071944,-19.391111,NA,2997978060,"Lamiaceae","SPECIES",NA,1973,"PRESERVED_SPECIMEN","NY","NY",-40.071944,-19.391111,TRUE
"137691","Solanum leptostachys","BR","Minas Gerais","Fazenda Portão",-43.009167,-18.293611,NA,2997987842,"Solanaceae","SPECIES",NA,1988,"PRESERVED_SPECIMEN","NY","NY",-43.009167,-18.293611,TRUE
"137699","Drimys brasiliensis","BR","Minas Gerais","Pico do Itambé. Na Lapa do Morcego, próximo ao ""Lajeado"", em campo rupestre.",-43.32,-18.38,NA,2997987897,"Winteraceae","SPECIES",NA,2009,"PRESERVED_SPECIMEN","NY","NY",-43.32,-18.38,TRUE
"137740","Chusquea nutans","BR","Minas Gerais","Parque Natural e Santuário do Caraça, along creek that flows into Rio Caraça, near the Piscina",-42.37,-19.97,NA,2997997871,"Poaceae","SPECIES",NA,1990,"PRESERVED_SPECIMEN","NY","NY",-42.37,-19.97,TRUE
"137839","Lonchocarpus cultratus","BR","Minas Gerais","Governador Valladares- BR4",-41.949167,-18.851111,NA,2998006074,"Fabaceae","SPECIES",NA,1964,"PRESERVED_SPECIMEN","NY","NY",-41.949167,-18.851111,TRUE
"137882","Melanopsidium nigrum","BR","Espírito Santo","Reserva Florestal de Linahres. Estrada Flamengo, km. 0,602. Ao lado da Trilha do Tatu Canastra",-40.071944,-19.391111,NA,2998015490,"Rubiaceae","SPECIES",NA,1995,"PRESERVED_SPECIMEN","NY","NY",-40.071944,-19.391111,TRUE
"137884","Molopanthera paniculata","BR","Espírito Santo","Reserva Florestal de Linhares. Estrada 143 - A6. Km: 2,29. Próxima a uma Jueirana branca junto ao Córrego",-40.071944,-19.391111,NA,2998015498,"Rubiaceae","VARIETY",NA,1972,"PRESERVED_SPECIMEN","NY","NY",-40.071944,-19.391111,TRUE
"137898","Pseudopiptadenia contorta","BR","Espírito Santo","Para Barro novo",-40.071944,-19.391111,NA,2998015633,"Fabaceae","SPECIES",NA,1978,"PRESERVED_SPECIMEN","NY","NY",-40.071944,-19.391111,TRUE
"137906","Faramea atlantica","BR","Espírito Santo","Reserva Florestal do Linhares. Casa de Guarda, km. 0,916. Entre Quatro Tambor em frente a una Bicuiba",-40.071944,-19.391111,NA,2998015704,"Rubiaceae","SPECIES",NA,1979,"PRESERVED_SPECIMEN","NY","NY",-40.071944,-19.391111,TRUE
"137909","Simira sampaioana","BR","Espírito Santo","Reserva Florestal da CVRD. Estrada Parajú, km. 0,010, próxima a um Coco d'oleo",-40.071944,-19.391111,NA,2998015729,"Rubiaceae","SPECIES",NA,1980,"PRESERVED_SPECIMEN","NY","NY",-40.071944,-19.391111,TRUE
"137988","Pseudopiptadenia brenanii","BR","Minas Gerais","Aimorés. UHE Aimorés. Fazenda Sr. Varejao",-41.063889,-19.495833,NA,2998025984,"Fabaceae","SPECIES",NA,1997,"PRESERVED_SPECIMEN","NY","NY",-41.063889,-19.495833,TRUE
"138022","Miconia mirabilis","BR","Espírito Santo","Dist. de Alto Liberdade, Pedro do Cruzeiro. Floresta Ombrófila na base de inselbergue.",-40.548056,-19.351389,NA,2998033594,"Melastomataceae","SPECIES",NA,2013,"PRESERVED_SPECIMEN","NY","NY",-40.548056,-19.351389,TRUE
"138051","Guarea guidonia","BR","Minas Gerais","Parque Estadual do Rio Doce",-42.776667,-19.843056,NA,2998034157,"Meliaceae","SPECIES",NA,1994,"PRESERVED_SPECIMEN","NY","NY",-42.776667,-19.843056,TRUE
"138152","Dictyoloma vandellianum","BR","Espírito Santo","Campo nativo de musununga do Quirino, Reserva de Sooretama.",-40.071944,-19.391111,NA,2998042745,"Rutaceae","SPECIES",NA,1969,"PRESERVED_SPECIMEN","NY","NY",-40.071944,-19.391111,TRUE
"138208","Trichilia casaretti","BR","Espírito Santo","Rodovia Linhares-Rio Bananal, Mata na Fazenda Lagoa Nova, ca. 20 km W de Linhares; N do Rio Doce",-40.071944,-19.391111,NA,2998042868,"Meliaceae","SPECIES",NA,1994,"PRESERVED_SPECIMEN","NY","NY",-40.071944,-19.391111,TRUE
"138218","Schinus terebinthifolia","BR","Espírito Santo","Reserva Biológica de Comboio - IBDF - Regência ES. Ao lado da fazenda Cata-vento.",-40.071944,-19.391111,NA,2998042895,"Anacardiaceae","SPECIES",NA,1989,"PRESERVED_SPECIMEN","NY","NY",-40.071944,-19.391111,TRUE
"138231","Cupania oblongifolia","BR","Espírito Santo","Reserva florestal CVRD.",-40.071944,-19.391111,NA,2998042956,"Sapindaceae","SPECIES",NA,1978,"PRESERVED_SPECIMEN","NY","NY",-40.071944,-19.391111,TRUE
"138267","Phyllostemonodaphne geminiflora","BR","Minas Gerais","Estacao Biologica de Caratinga",-41.83,-19.67,NA,2998043207,"Lauraceae","SPECIES",NA,1984,"PRESERVED_SPECIMEN","NY","NY",-41.83,-19.67,TRUE
"138297","Eugenia flavescens","BR","Espírito Santo","8 km W of Linhares on road to Colatina (on N side of Rio Doce).",-40.12,-19.37,NA,2998053407,"Myrtaceae","SPECIES",NA,1988,"PRESERVED_SPECIMEN","NY","NY",-40.12,-19.37,TRUE
"138398","Myrcia guianensis","BR","Minas Gerais","Morro da Pedras, ca. 30 km N.E. of Patrocínio",-43.248611,-19.948056,NA,2998053895,"Myrtaceae","SPECIES",NA,1970,"PRESERVED_SPECIMEN","NY","NY",-43.248611,-19.948056,TRUE
"138405","Myrcia retorta","BR","Minas Gerais","Rio Vermelho. Pedra Menina. Serra do Ambrósio. Espigao do Meio. Faz. Vargem do Anjo",-43.059444,-18.142222,NA,2998053916,"Myrtaceae","SPECIES",NA,1986,"PRESERVED_SPECIMEN","NY","NY",-43.059444,-18.142222,TRUE
"138407","Myrcia splendens","BR","Minas Gerais","State Agricultural School, Viçosa.",-42.868056,-20.761389,NA,2998053926,"Myrtaceae","SPECIES",NA,1958,"PRESERVED_SPECIMEN","NY","NY",-42.868056,-20.761389,TRUE
"138425","Trichilia pallida","BR","Minas Gerais","Junto ao eixo (A) projetado da Barragem do Rio Doce",-42.895556,-20.244722,NA,2998054022,"Meliaceae","SPECIES",NA,1997,"PRESERVED_SPECIMEN","NY","NY",-42.895556,-20.244722,TRUE
"138426","Inga edulis","BR","Minas Gerais","State Agricultural School, Viçosa.",-42.868056,-20.761389,NA,2998054023,"Fabaceae","SPECIES",NA,1959,"PRESERVED_SPECIMEN","NY","NY",-42.868056,-20.761389,TRUE
"138440","Myrcia pubescens","BR","Minas Gerais","Rod. MG-2, entre Serro e Datas",-43.379167,-18.604722,NA,2998054171,"Myrtaceae","SPECIES",NA,1972,"PRESERVED_SPECIMEN","NY","NY",-43.379167,-18.604722,TRUE
"138442","Myrcia subsericea","BR","Minas Gerais","Caratinga, Estacao Biologica de Caratinga.",-41.83,-19.67,NA,2998054173,"Myrtaceae","SPECIES",NA,1983,"PRESERVED_SPECIMEN","NY","NY",-41.83,-19.67,TRUE
"138458","Myrsine umbellata","BR","Minas Gerais","State Agricultural School.",-42.868056,-20.761389,NA,2998054230,"Primulaceae","SPECIES",NA,1959,"PRESERVED_SPECIMEN","NY","NY",-42.868056,-20.761389,TRUE
"138471","Eschweilera ovata","BR","Espírito Santo","Vale do Rio Doce",-40.071944,-19.391111,NA,2997795733,"Lecythidaceae","SPECIES",NA,1971,"PRESERVED_SPECIMEN","NY","NY",-40.071944,-19.391111,TRUE
"138473","Eschweilera ovata","BR","Espírito Santo","Lagoa Juparana",-40.071944,-19.391111,NA,2997795735,"Lecythidaceae","SPECIES",NA,1987,"PRESERVED_SPECIMEN","NY","NY",-40.071944,-19.391111,TRUE
"138480","Chamaecrista aspleniifolia","BR","Minas Gerais","E of Ouro Preto",-42.83,-20.33,NA,2997795825,"Fabaceae","SPECIES",NA,1967,"PRESERVED_SPECIMEN","NY","NY",-42.83,-20.33,TRUE
"138487","Virola gardneri","BR","Minas Gerais","Atlantic forest, Caratinga, Estaçao Biológica de Caratinga.",-41.83,-19.67,NA,2997795933,"Myristicaceae","SPECIES",NA,1983,"PRESERVED_SPECIMEN","NY","NY",-41.83,-19.67,TRUE
"138506","Chamaecrista dentata","BR","Minas Gerais","Serra do Espinhaço, lower slopes of Pico de Itacolomi, ca. 2 km S. of Ouro Preto",-43.505833,-20.3875,NA,2997831404,"Fabaceae","SPECIES",NA,1971,"PRESERVED_SPECIMEN","NY","NY",-43.505833,-20.3875,TRUE
"138510","Senna reniformis","BR","Minas Gerais","Descida do Morro do Pico Itambé.",-43.33,-18.43,NA,2997831458,"Fabaceae","SPECIES",NA,1982,"PRESERVED_SPECIMEN","NY","NY",-43.33,-18.43,TRUE
"138556","Aloysia virgata","BR","Minas Gerais","State Agricultural School, Viçosa",-42.868056,-20.761389,NA,2997832170,"Verbenaceae","VARIETY",NA,1958,"PRESERVED_SPECIMEN","NY","NY",-42.868056,-20.761389,TRUE
"138574","Lychnophora pinaster","BR","Minas Gerais","Itacolucui",-43.508056,-20.287778,NA,2997864392,"Asteraceae","SPECIES",NA,1950,"PRESERVED_SPECIMEN","NY","NY",-43.508056,-20.287778,TRUE
"138586","Miconia fasciculata","BR","Espírito Santo","Trilha para o Alto Misterioso. Arbustaria.",-40.770278,-19.803611,NA,2997864696,"Melastomataceae","SPECIES",NA,2011,"PRESERVED_SPECIMEN","NY","NY",-40.770278,-19.803611,TRUE
"138599","Riodocea pulcherrima","BR","Espírito Santo","Reserva Florestal de Linhares. Estrada: Municipal Bebedouro à Regência, Km. 13. Bananal do Sul Município de Linhares.",-40.071944,-19.391111,NA,2997864848,"Rubiaceae","SPECIES",NA,1997,"PRESERVED_SPECIMEN","NY","NY",-40.071944,-19.391111,TRUE
"138606","Pilocarpus giganteus","BR","Espírito Santo","Reserva Florestal de Linhares. Estrada Bomba d'Agua. Km 2,5. Localizaçao final da estrada.",-40.071944,-19.391111,NA,2997864866,"Rutaceae","SPECIES",NA,1999,"PRESERVED_SPECIMEN","NY","NY",-40.071944,-19.391111,TRUE
"138607","Metrodorea maracasana","BR","Espírito Santo","Reserva Florestal da CVRD. Esp. Santo Est. ROXINHO, ant. 163, Km 1,020, talhao 606.",-40.071944,-19.391111,NA,2997864867,"Rutaceae","SPECIES",NA,1978,"PRESERVED_SPECIMEN","NY","NY",-40.071944,-19.391111,TRUE
"138617","Handroanthus cristatus","BR","Espírito Santo","Estrada do Ipe Amarelo, perpendicular a X2.",-40.071944,-19.391111,NA,2997864889,"Bignoniaceae","SPECIES",NA,1985,"PRESERVED_SPECIMEN","NY","NY",-40.071944,-19.391111,TRUE
"138630","Platypodium elegans","BR","Espírito Santo","Margem do Rio Doce.",-40.071944,-19.391111,NA,2997865046,"Fabaceae","SUBSPECIES",NA,1965,"PRESERVED_SPECIMEN","NY","NY",-40.071944,-19.391111,TRUE
"138643","Solanum bullatum","BR","Minas Gerais","Outskirts of Realeza, junction of BR-116 and BR-262",-42.17,-20.17,NA,2997865172,"Solanaceae","SPECIES",NA,1985,"PRESERVED_SPECIMEN","NY","NY",-42.17,-20.17,TRUE
"138678","Phyllostemonodaphne geminiflora","BR","Minas Gerais","Caratinga, Estacao Biologica de Caratinga.",-41.83,-19.67,NA,2997897818,"Lauraceae","SPECIES",NA,1983,"PRESERVED_SPECIMEN","NY","NY",-41.83,-19.67,TRUE
"138684","Miconia pusilliflora","BR","Minas Gerais","State Agricultural School.",-42.868056,-20.761389,NA,2997897875,"Melastomataceae","SPECIES",NA,1959,"PRESERVED_SPECIMEN","NY","NY",-42.868056,-20.761389,TRUE
"138686","Apuleia leiocarpa","BR","Minas Gerais","Caratinga, Estacao Biologica de Caratinga.",-41.83,-19.67,NA,2997897931,"Fabaceae","SPECIES",NA,1983,"PRESERVED_SPECIMEN","NY","NY",-41.83,-19.67,TRUE
"138690","Clethra scabra","BR","Minas Gerais","Serra do Espinhaço, on summit of Pico de Itacolomi, ca. 3 km S. of Ouro Preto",-43.505833,-20.3875,NA,2997898010,"Clethraceae","SPECIES",NA,1971,"PRESERVED_SPECIMEN","NY","NY",-43.505833,-20.3875,TRUE
"138694","Dalbergia villosa","BR","Minas Gerais","Serra do Espinhaço, lower slopes of Pico de Itacolomi, ca. 2 km S. of Ouro Preto",-43.505833,-20.3875,NA,2997898135,"Fabaceae","VARIETY",NA,1971,"PRESERVED_SPECIMEN","NY","NY",-43.505833,-20.3875,TRUE
"138706","Vismia brasiliensis","BR","Minas Gerais","State Agricultural School, Viçosa.",-42.868056,-20.761389,NA,2997898262,"Hypericaceae","SPECIES",NA,1959,"PRESERVED_SPECIMEN","NY","NY",-42.868056,-20.761389,TRUE
"138707","Schinus terebinthifolia","BR","Minas Gerais","State Agricultural School, Viçosa.",-42.868056,-20.761389,NA,2997898276,"Anacardiaceae","SPECIES",NA,1958,"PRESERVED_SPECIMEN","NY","NY",-42.868056,-20.761389,TRUE
"139065","Bixa orellana","BR","Minas Gerais","State Agricultural School, Viçosa",-42.868056,-20.761389,NA,2997970535,"Bixaceae","SPECIES",NA,1959,"PRESERVED_SPECIMEN","NY","NY",-42.868056,-20.761389,TRUE
"139121","Lacistema robustum","BR","Espírito Santo","Linhares, Reserva Florestal de CVRD. Transect 2.",-40.071944,-19.391111,NA,2997979495,"Lacistemataceae","SPECIES",NA,1985,"PRESERVED_SPECIMEN","NY","NY",-40.071944,-19.391111,TRUE
"139139","Qualea cryptantha","BR","Espírito Santo","Reserva Florestal da CVRD. Est. JUEIRANA VERMELHA, km 0,720, lado esquerdo",-40.071944,-19.391111,NA,2997979615,"Vochysiaceae","SPECIES",NA,1984,"PRESERVED_SPECIMEN","NY","NY",-40.071944,-19.391111,TRUE
"139226","Mabea fistulifera","BR","Minas Gerais","Parque Estadual do Rio Doce. On steep slope between guest hotel and lake.",-42.6,-19.77,NA,2997989876,"Euphorbiaceae","SPECIES",NA,1975,"PRESERVED_SPECIMEN","NY","NY",-42.6,-19.77,TRUE
"139328","Luehea grandiflora","BR","Minas Gerais","State Agricultural School.",-42.868056,-20.761389,NA,2998009706,"Malvaceae","SPECIES",NA,1958,"PRESERVED_SPECIMEN","NY","NY",-42.868056,-20.761389,TRUE
"139356","Swartzia myrtifolia","BR","Minas Gerais","Parque Florestal Estadual do Rio Doce. Folha SE.23-Z-D. Ponto 290",-42.6,-19.78,NA,2998010042,"Fabaceae","VARIETY",NA,1982,"PRESERVED_SPECIMEN","NY","NY",-42.6,-19.78,TRUE
"139431","Pogonophora schomburgkiana","BR","Espírito Santo","Linhares para Povoaçao",-40.071944,-19.391111,NA,2998019860,"Peraceae","SPECIES",NA,1973,"PRESERVED_SPECIMEN","NY","NY",-40.071944,-19.391111,TRUE
"139457","Swartzia apetala","BR","Espírito Santo","Rodovia ES-080, trevo donde nace el camino a Governador Lindemberg y Bananal.",-40.63,-19.22,NA,2998020245,"Fabaceae","VARIETY",NA,1997,"PRESERVED_SPECIMEN","NY","NY",-40.63,-19.22,TRUE
"139462","Swartzia apetala","BR","Espírito Santo","Reserva Florestal da CVRD. Est. BOMBA D""AGUA, ant. 213. Km 2287, lado esquerdo.",-40.071944,-19.391111,NA,2998029379,"Fabaceae","SPECIES",NA,1984,"PRESERVED_SPECIMEN","NY","NY",-40.071944,-19.391111,TRUE
"139556","Trichilia elegans","BR","Espírito Santo","Reserva Natural da CVRD. Porteira do Flamengo MME km 0.8.",-40.072222,-19.391111,NA,2998040215,"Meliaceae","SUBSPECIES",NA,2004,"PRESERVED_SPECIMEN","NY","NY",-40.072222,-19.391111,TRUE
"139582","Xylopia emarginata","BR","Minas Gerais","Itapanhoacanga. Estrada Itapanhoacanga - cachoeira Campinas, 3 km de Itapanhoacanga.",-43.443056,-18.7975,NA,2998048321,"Annonaceae","SPECIES",NA,2007,"PRESERVED_SPECIMEN","NY","NY",-43.443056,-18.7975,TRUE
"139621","Copaifera langsdorffii","BR","Minas Gerais","Parque Florestal do Rio Doce, Lagoa Don Elvécio. Folha SE.23-Z-D. Ponto 289",-42.62,-19.8,NA,2998048548,"Fabaceae","VARIETY",NA,1982,"PRESERVED_SPECIMEN","NY","NY",-42.62,-19.8,TRUE
"139700","Pseudobombax majus","BR","Espírito Santo","Linhares, Vale do Rio Doce",-40.071944,-19.391111,NA,2998048877,"Malvaceae","SPECIES",NA,1970,"PRESERVED_SPECIMEN","NY","NY",-40.071944,-19.391111,TRUE
"139710","Schinus terebinthifolia","BR","Espírito Santo","Reserva Biológica de Comboio - IBDF - Regência ES.",-40.071944,-19.391111,NA,2998048907,"Anacardiaceae","SPECIES",NA,1989,"PRESERVED_SPECIMEN","NY","NY",-40.071944,-19.391111,TRUE
"139718","Spondias venulosa","BR","Espírito Santo","Brejal, 15 km N de Colatina, camino de tierra sobre la margen izquierda del Río Pancas.",-40.68,-19.38,NA,2998048949,"Anacardiaceae","SPECIES",NA,1997,"PRESERVED_SPECIMEN","NY","NY",-40.68,-19.38,TRUE
"139723","Allophylus puberulus","BR","Espírito Santo","Reserva Florestal da CVRD, Est. contra mao, km 0,315, lado direito.",-40.071944,-19.391111,NA,2998048961,"Sapindaceae","SPECIES",NA,1979,"PRESERVED_SPECIMEN","NY","NY",-40.071944,-19.391111,TRUE
"139763","Chamaecrista ensiformis","BR","Espírito Santo","Reserva Florestal de Linhares CVRD. Proximo a Estrada 142 Talhao 403",-40.071944,-19.391111,NA,2998049258,"Fabaceae","VARIETY",NA,1973,"PRESERVED_SPECIMEN","NY","NY",-40.071944,-19.391111,TRUE
"139850","Guatteria villosissima","BR","Minas Gerais","Serra do Cipó, ca. km 120 (ca. 145km N of Belo Horizonte).",-43.4,-18.87,NA,2998057766,"Annonaceae","SPECIES",NA,1968,"PRESERVED_SPECIMEN","NY","NY",-43.4,-18.87,TRUE
"139891","Campomanesia rufa","BR","Minas Gerais","Serra do Cipó, km. 135 (ca. 150km N. of Belo Horizonte).",-43.38,-18.82,NA,2998057933,"Myrtaceae","SPECIES",NA,1968,"PRESERVED_SPECIMEN","NY","NY",-43.38,-18.82,TRUE
"139904","Endlicheria paniculata","BR","Minas Gerais","State Agricultural School, Viçosa.",-42.868056,-20.761389,NA,2998058005,"Lauraceae","SPECIES",NA,1959,"PRESERVED_SPECIMEN","NY","NY",-42.868056,-20.761389,TRUE
"139914","Piptadenia gonoacantha","BR","Minas Gerais","Ouro Fino",-43.424722,-19.037222,NA,2998058076,"Fabaceae","SPECIES",NA,1989,"PRESERVED_SPECIMEN","NY","NY",-43.424722,-19.037222,TRUE
"139941","Eschweilera ovata","BR","Espírito Santo","Lagoa Juparana, Praia das Tres pontas, próximo a Linhares",-40.08,-19.35,NA,2997333721,"Lecythidaceae","SPECIES",NA,1997,"PRESERVED_SPECIMEN","NY","NY",-40.08,-19.35,TRUE
"139980","Senna reniformis","BR","Minas Gerais","But along boundary with Mun. de Ouro Preto: 6 Km due SE of city of Ouro Preto, on top (Planalto) of the mountain ""Itacolomi"". Southeast-facing rocky slope (on SW side of immense sandstone).",-43.45,-20.43,NA,2997354444,"Fabaceae","SPECIES",NA,1965,"PRESERVED_SPECIMEN","NY","NY",-43.45,-20.43,TRUE
"139984","Brasiliocroton mamoninha","BR","Espírito Santo","Rodovia Marilandia-Rio Bananal; ca. 1 km. N de Marilandia.",-40.541667,-19.413056,NA,2997354463,"Euphorbiaceae","SPECIES",NA,1994,"PRESERVED_SPECIMEN","NY","NY",-40.541667,-19.413056,TRUE
"139990","Machaerium brasiliense","BR","Minas Gerais","Rod. MG-010, córrego Passa Sete",-43.424722,-19.037222,NA,2997354527,"Fabaceae","SPECIES",NA,1997,"PRESERVED_SPECIMEN","NY","NY",-43.424722,-19.037222,TRUE
"140066","Miconia paniculata","BR","Minas Gerais","Parque Estadual do Itacolomi. Floresta secundária, próximo à canga.",-43.511944,-20.443056,NA,2997367691,"Melastomataceae","SPECIES",NA,2011,"PRESERVED_SPECIMEN","NY","NY",-43.511944,-20.443056,TRUE
"140083","Lecythis lurida","BR","Espírito Santo","Reserva Florestal de Linhares CVRD. Próximo Estrada 163, Talhao 607",-40.070278,-19.384167,NA,2997367861,"Lecythidaceae","SPECIES",NA,1972,"PRESERVED_SPECIMEN","NY","NY",-40.070278,-19.384167,TRUE
"140086","Paratecoma peroba","BR","Espírito Santo","Reserva Florestal da CVRD. Est. PELADA, Km 0,247, lado direito.",-40.071944,-19.391111,NA,2997367874,"Bignoniaceae","SPECIES",NA,1982,"PRESERVED_SPECIMEN","NY","NY",-40.071944,-19.391111,TRUE
"140089","Simira grazielae","BR","Espírito Santo","Reserva Florestal de Linhares. Estrada Flamengo. Km 6,95. 25 m antes da Torre, próximo a uma Sapucaia mirim e uma Bo",-40.071944,-19.391111,NA,2997367945,"Rubiaceae","SPECIES",NA,1979,"PRESERVED_SPECIMEN","NY","NY",-40.071944,-19.391111,TRUE
"140093","Ocotea insignis","BR","Minas Gerais","Caratinga. Estaçao Biologica de Caratinga",-41.83,-19.67,NA,2997367967,"Lauraceae","SPECIES",NA,1984,"PRESERVED_SPECIMEN","NY","NY",-41.83,-19.67,TRUE
"140106","Solanum warmingii","BR","Minas Gerais","Fazenda Varginha, 12 km. E. of Ponte Nova",-42.908611,-20.416389,NA,2997368158,"Solanaceae","SPECIES",NA,1958,"PRESERVED_SPECIMEN","NY","NY",-42.908611,-20.416389,TRUE
"140125","Guatteria campestris","BR","Minas Gerais","Rod. MG-010, Tanque",-43.379167,-18.604722,NA,2997375386,"Annonaceae","SPECIES",NA,1997,"PRESERVED_SPECIMEN","NY","NY",-43.379167,-18.604722,TRUE
"140140","Carpotroche brasiliensis","BR","Minas Gerais","Estaçao Biologica de Caratinga.",-41.83,-19.67,NA,2997375707,"Achariaceae","SPECIES",NA,1983,"PRESERVED_SPECIMEN","NY","NY",-41.83,-19.67,TRUE
"140151","Inga sessilis","BR","Minas Gerais","Serra do Espinhaço, on middle slopes of Pico de Itacolomi, ca. 3 km S. of Ouro Preto",-43.505833,-20.3875,NA,2997375904,"Fabaceae","SPECIES",NA,1971,"PRESERVED_SPECIMEN","NY","NY",-43.505833,-20.3875,TRUE
"140152","Apuleia leiocarpa","BR","Minas Gerais","Parque Estadual do Rio Doce.",-42.731944,-19.712222,NA,2997375923,"Fabaceae","SPECIES",NA,1974,"PRESERVED_SPECIMEN","NY","NY",-42.731944,-19.712222,TRUE
"140154","Alseis floribunda","BR","Minas Gerais","Aimorés. Margem direita do rio Manhuaçu.",-41.063889,-19.495833,NA,2997375972,"Rubiaceae","SPECIES",NA,1997,"PRESERVED_SPECIMEN","NY","NY",-41.063889,-19.495833,TRUE
"140362","Casearia arborea","BR","Minas Gerais","State Agricultural School, Viçosa",-42.868056,-20.761389,NA,2997406024,"Salicaceae","SPECIES",NA,1958,"PRESERVED_SPECIMEN","NY","NY",-42.868056,-20.761389,TRUE
"140456","Trema micrantha","BR","Minas Gerais","Parque Estadual do Rio Doce.",-42.731944,-19.712222,NA,2997437393,"Cannabaceae","SPECIES",NA,1992,"PRESERVED_SPECIMEN","NY","NY",-42.731944,-19.712222,TRUE
"140601","Qualea magna","BR","Espírito Santo","Reserva Florestal de CVRD. Est. BICUIBA, ant. 162, km 0,756, lado esquerdo",-40.071944,-19.391111,NA,2997457563,"Vochysiaceae","SPECIES",NA,1983,"PRESERVED_SPECIMEN","NY","NY",-40.071944,-19.391111,TRUE
"140712","Ficus pulchella","BR","Minas Gerais","Estacao Biologica de Caratinga",-41.83,-19.67,NA,2997478116,"Moraceae","SPECIES",NA,1983,"PRESERVED_SPECIMEN","NY","NY",-41.83,-19.67,TRUE
"140724","Eremanthus glomerulatus","BR","Minas Gerais","2 km from Chapeu do Sol, Serra do Cipó",-43.424722,-19.037222,NA,2997498781,"Asteraceae","SPECIES",NA,1980,"PRESERVED_SPECIMEN","NY","NY",-43.424722,-19.037222,TRUE
"140744","Lacistema pubescens","BR","Minas Gerais","State Agricultural School, Viçosa",-42.868056,-20.761389,NA,2997499171,"Lacistemataceae","SPECIES",NA,1959,"PRESERVED_SPECIMEN","NY","NY",-42.868056,-20.761389,TRUE
"140786","Melanoxylon brauna","BR","Minas Gerais","Rio Conceição",-43.424722,-19.037222,NA,2997526625,"Fabaceae","SPECIES",NA,1973,"PRESERVED_SPECIMEN","NY","NY",-43.424722,-19.037222,TRUE
"140789","Gaylussacia salicifolia","BR","Minas Gerais","Serra do Caraça.",-43.415278,-19.959444,NA,2997526649,"Ericaceae","SPECIES",NA,1990,"PRESERVED_SPECIMEN","NY","NY",-43.415278,-19.959444,TRUE
"140866","Chamaecrista aspleniifolia","BR","Espírito Santo","Reserva Florestal da CVRD. Est. Cinco Folhas, km 0.060, lado esquerdo",-40.071944,-19.391111,NA,2997555618,"Fabaceae","SPECIES",NA,1979,"PRESERVED_SPECIMEN","NY","NY",-40.071944,-19.391111,TRUE
"140872","Simira eliezeriana","BR","Espírito Santo","Reserva Florestal de Linhares. Estrada Flamengo, km. 1,01",-40.071944,-19.391111,NA,2997555679,"Rubiaceae","SPECIES",NA,1994,"PRESERVED_SPECIMEN","NY","NY",-40.071944,-19.391111,TRUE
"140906","Lonchocarpus sericeus","BR","Espírito Santo","9 km al NW de Angelo Frechiani, junto al rio Pancas",-40.73,-19.27,NA,2997556030,"Fabaceae","SPECIES",NA,1997,"PRESERVED_SPECIMEN","NY","NY",-40.73,-19.27,TRUE
"140943","Anadenanthera colubrina","BR","Minas Gerais","State Agricultural School, Viçosa.",-42.868056,-20.761389,NA,2997602780,"Fabaceae","SPECIES",NA,1958,"PRESERVED_SPECIMEN","NY","NY",-42.868056,-20.761389,TRUE
"140964","Cassia ferruginea","BR","Minas Gerais","Rio Repicao",-43.376389,-19.215833,NA,2997603116,"Fabaceae","VARIETY",NA,1974,"PRESERVED_SPECIMEN","NY","NY",-43.376389,-19.215833,TRUE
"140976","Miconia valentinensis","BR","Espírito Santo","Serra do Valentim. Trilha para a torre",-41.275833,-20.225,NA,2997651385,"Melastomataceae","SPECIES",NA,2013,"PRESERVED_SPECIMEN","NY","NY",-41.275833,-20.225,TRUE
"140999","Erythrina verna","BR","Minas Gerais","On east bank of the Rio Doce, ca. 25 km east of Marliéria, in small village at ""Ponta Queimada",-42.47,-19.77,NA,2997651848,"Fabaceae","SPECIES",NA,1975,"PRESERVED_SPECIMEN","NY","NY",-42.47,-19.77,TRUE
"141022","Schinus terebinthifolia","BR","Minas Gerais","Serra do Espinhaço, lower slopes of Serra da Caraça, ca. 10 km W. of Barão de Cocais",-43.492778,-20.126389,NA,2997652119,"Anacardiaceae","VARIETY",NA,1971,"PRESERVED_SPECIMEN","NY","NY",-43.492778,-20.126389,TRUE
