"","species","countryCode","stateProvince","locality","decimalLongitude","decimalLatitude","individualCount","gbifID","family","taxonRank","coordinateUncertaintyInMeters","year","basisOfRecord","institutionCode","collectionCode","geometry"
"917","Richeria grandis","BR","Minas Gerais","(Cabeça de Boi). APA do PARNA da Serra do Cipó. Subida do morro nas terras de José Agostinho, pela parte esquerda da mata.",-43.402556,-19.398306,NA,2577378269,"Phyllanthaceae","SPECIES",NA,2007,"PRESERVED_SPECIMEN","USP","SPF",c(-43.402556, -19.398306)
"918","Ocotea bicolor","BR","Minas Gerais","APA Parque Nacional da Serra do Cipó, Distrito de Santana do Rio Preto (Cabeça de Boi).",-43.402056,-19.396361,NA,1252620298,"Lauraceae","SPECIES",NA,2007,"PRESERVED_SPECIMEN","USP","SPF",c(-43.402056, -19.396361)
"919","Endlicheria glomerata","BR","Minas Gerais","APA Parque Nacional da Serra do Cipó, Distrito de Santana do Rio Preto (Cabeça de Boi).",-43.402056,-19.396361,NA,1252620341,"Lauraceae","SPECIES",NA,2008,"PRESERVED_SPECIMEN","USP","SPF",c(-43.402056, -19.396361)
"920","Eugenia tenuipedunculata","BR","Minas Gerais","APA Parque Nacional da Serra do Cipó",-43.401944,-19.396111,NA,1264693006,"Myrtaceae","SPECIES",NA,2008,"PRESERVED_SPECIMEN","USP","SPF",c(-43.401944, -19.396111)
"921","Miconia brunnea","BR","Minas Gerais","Serra do Cipó",-43.432861,-19.431861,NA,1135073796,"Melastomataceae","SPECIES",NA,2008,"PRESERVED_SPECIMEN","USP","SPF",c(-43.432861, -19.431861)
"922","Mollinedia oligantha","BR","Minas Gerais","Santana do Rio Preto, (Cabeça de Boi). APA do Parque Nacional da Serra do Cipó. Terras de José Agostinho, na mata.",-43.402056,-19.396361,NA,1837393335,"Monimiaceae","SPECIES",NA,2008,"PRESERVED_SPECIMEN","USP","SPF",c(-43.402056, -19.396361)
"923","Helicostylis tomentosa","BR","Minas Gerais","Santana do Rio Preto, (Cabeça de Boi). APA do Parque Nacional da Serra do Cipó. Terras de José Agostinho, na mata.",-43.402056,-19.396361,NA,1213516291,"Moraceae","SPECIES",NA,2007,"PRESERVED_SPECIMEN","USP","SPF",c(-43.402056, -19.396361)
"924","Senna macranthera","BR","Minas Gerais","APA Morro da Pedreira",-43.401611,-19.397,NA,1303204610,"Fabaceae","SPECIES",NA,2008,"PRESERVED_SPECIMEN","USP","SPF",c(-43.401611, -19.397)
"925","Machaerium nyctitans","BR","Minas Gerais","Serra do Cipó",-43.422472,-19.411222,NA,1426768338,"Fabaceae","SPECIES",NA,2007,"PRESERVED_SPECIMEN","USP","SPF",c(-43.422472, -19.411222)
"926","Psychotria carthagenensis","BR","Minas Gerais","APA Parque Nacional da Serra do Cipó",-43.402056,-19.396361,NA,1853953606,"Rubiaceae","SPECIES",NA,2008,"PRESERVED_SPECIMEN","USP","SPF",c(-43.402056, -19.396361)
"927","Myrcia racemosa","BR","Minas Gerais","APA Parque Nacional da Serra do Cipó",-43.401944,-19.396111,NA,1265913095,"Myrtaceae","SPECIES",NA,2008,"PRESERVED_SPECIMEN","USP","SPF",c(-43.401944, -19.396111)
"928","Myrcia guianensis","BR","Minas Gerais","APA Parque Nacional da Serra do Cipó",-43.431333,-19.414444,NA,1316167073,"Myrtaceae","SPECIES",NA,2008,"PRESERVED_SPECIMEN","USP","SPF",c(-43.431333, -19.414444)
"929","Myrciaria floribunda","BR","Minas Gerais","APA Parque Nacional da Serra do Cipó",-43.432861,-19.431861,NA,1316167032,"Myrtaceae","SPECIES",NA,2007,"PRESERVED_SPECIMEN","USP","SPF",c(-43.432861, -19.431861)
"930","Inga vulpina","BR","Minas Gerais","Santana do Rio Preto (Cabeça de Boi).",-43.432861,-19.431861,NA,1563167299,"Fabaceae","SPECIES",NA,2007,"PRESERVED_SPECIMEN","USP","SPF",c(-43.432861, -19.431861)
"931","Ocotea divaricata","BR","Espírito Santo","Santa Luzia. Firmino.",-40.463333,-19.275833,NA,1252620402,"Lauraceae","SPECIES",NA,2007,"PRESERVED_SPECIMEN","USP","SPF",c(-40.463333, -19.275833)
"932","Inga cylindrica","BR","Minas Gerais","APA Parque Nacional da Serra do Cipó",-43.432861,-19.431861,NA,1316167128,"Fabaceae","SPECIES",NA,2008,"PRESERVED_SPECIMEN","USP","SPF",c(-43.432861, -19.431861)
"933","Myrcia nitida","BR","Minas Gerais","Serra do Ambrósio, Vargem do anjo, virando para Mato Virgem.",-43.03725,-18.144139,NA,1090629271,"Myrtaceae","SPECIES",NA,2013,"PRESERVED_SPECIMEN","USP","SPF",c(-43.03725, -18.144139)
"934","Xylopia decorticans","BR","Espírito Santo","Estação Biológica de Santa Lúcia",-43.521389,-19.995278,NA,1090632760,"Annonaceae","SPECIES",NA,2009,"PRESERVED_SPECIMEN","USP","SPF",c(-43.521389, -19.995278)
"935","Swartzia acutifolia","BR","Minas Gerais","Serra do Cipó, Distrito de Santana do Rio Preto. Cabeça de Boi. Caminho para o Cachoeirão, após a casa do Zé Fernandes, próximo à mata do Cachoeirão.",-43.434028,-19.426806,NA,1806849938,"Fabaceae","SPECIES",NA,2011,"PRESERVED_SPECIMEN","USP","SPF",c(-43.434028, -19.426806)
"936","Rudgea jasminoides","BR","Minas Gerais","RPPN Feliciano Miguel Abdala, (Antiga Estação Biológica de Caratinga). Cerca 800 m da Sede, próxima ao Jequitibá Rosa. Trilha da Formiga.",-41.827514,-19.729469,NA,1806851484,"Rubiaceae","SPECIES",NA,2012,"PRESERVED_SPECIMEN","USP","SPF",c(-41.827514, -19.729469)
"937","Tovomita leucantha","BR","Minas Gerais","Distrito de Santana do Rio Preto (Cabeça de Boi). Mata do Cachoeirão.",-43.432861,-19.431861,NA,1913599320,"Clusiaceae","SPECIES",NA,2011,"PRESERVED_SPECIMEN","USP","SPF",c(-43.432861, -19.431861)
"938","Conchocarpus macrocarpus","BR","Espírito Santo","Estrada Rio Bananal - Novo Brasil. Estrada de terra da propriedade Fazenda Giubertii, próximo à rodovia, propriedade de Paulo Roberto, ca. 14 km da igreja de Rio Bananal.",-40.357797,-19.143633,NA,1944965383,"Rutaceae","SPECIES",NA,2009,"PRESERVED_SPECIMEN","USP","SPF",c(-40.357797, -19.143633)
"939","Metrodorea stipularis","BR","Minas Gerais","Serra do Ouro Branco",-43.65,-20.516667,NA,1853948381,"Rutaceae","SPECIES",NA,1987,"PRESERVED_SPECIMEN","USP","SPF",c(-43.65, -20.516667)
"940","Gaylussacia oleifolia","BR","Minas Gerais","Serra do Cipó",-43.494444,-19.344444,NA,1702647279,"Ericaceae","SPECIES",NA,1982,"PRESERVED_SPECIMEN","USP","SPF",c(-43.494444, -19.344444)
"941","Guarea guidonia","BR","Espírito Santo","Sítio Sturr. Feixe de Pedras, 6 Km ESE de Pancas camino a Colatina.",-40.766667,-19.25,NA,1226934839,"Meliaceae","SPECIES",NA,1992,"PRESERVED_SPECIMEN","USP","SPF",c(-40.766667, -19.25)
"942","Miconia corallina","BR","Minas Gerais","Parque Natural da Serra do Caraça",-43.466667,-20.1,NA,1135072125,"Melastomataceae","SPECIES",NA,1994,"PRESERVED_SPECIMEN","USP","SPF",c(-43.466667, -20.1)
"943","Senna reniformis","BR","Minas Gerais","Serra do Caraça",-43.494444,-20.105,NA,1303202610,"Fabaceae","SPECIES",NA,1997,"PRESERVED_SPECIMEN","USP","SPF",c(-43.494444, -20.105)
"944","Aniba canelilla","BR","Minas Gerais","Parque Estadual do Rio Doce",-42.627222,-19.776389,NA,1252618005,"Lauraceae","SPECIES",NA,1997,"PRESERVED_SPECIMEN","USP","SPF",c(-42.627222, -19.776389)
"945","Myrcia montana","BR","Espírito Santo","Parque Nacional do Caparaó",-41.808056,-20.41,NA,1264691510,"Myrtaceae","SPECIES",NA,2000,"PRESERVED_SPECIMEN","USP","SPF",c(-41.808056, -20.41)
"946","Guapira graciliflora","BR","Minas Gerais","Parque Estadual do Rio Doce",-42.620278,-19.756111,NA,1450975249,"Nyctaginaceae","SPECIES",NA,2003,"PRESERVED_SPECIMEN","USP","SPF",c(-42.620278, -19.756111)
"947","Swartzia apetala","BR","Minas Gerais","Parque Estadual do Rio Doce",-42.539444,-19.806111,NA,1455400147,"Fabaceae","VARIETY",NA,2004,"PRESERVED_SPECIMEN","USP","SPF",c(-42.539444, -19.806111)
"948","Chusquea meyeriana","BR","Minas Gerais","Serra do Ambrósio",-43.038889,-18.107778,NA,1291005961,"Poaceae","SPECIES",NA,2006,"PRESERVED_SPECIMEN","USP","SPF",c(-43.038889, -18.107778)
"949","Spondias venulosa","BR","Espírito Santo","Alto Bananal . Prop. Jonas Graci.",-40.416389,-19.248889,NA,1090624735,"Anacardiaceae","SPECIES",NA,2007,"PRESERVED_SPECIMEN","USP","SPF",c(-40.416389, -19.248889)
"950","Handroanthus vellosoi","BR","Minas Gerais","Distrito de Santana do Rio Preto (Cabeça de boi)APA do Parque Nacional da Serra do CipóTerras de José Agostinho, na mata.",-43.402021,-19.396147,NA,2565912870,"Bignoniaceae","SPECIES",NA,2007,"PRESERVED_SPECIMEN","USP","SPF",c(-43.402021, -19.396147)
"951","Peritassa flaviflora","BR","Minas Gerais","Serra do Cipó, Distrito de Santana do Rio Preto (Cabeça de Boi). APA do Parque Nacinal da Serra do Cipó. Borda da mata nas terrras do Nem.",-43.401611,-19.397,NA,1090624841,"Celastraceae","SPECIES",NA,2007,"PRESERVED_SPECIMEN","USP","SPF",c(-43.401611, -19.397)
"952","Sloanea guianensis","BR","Minas Gerais","APA Parque Nacional da Serra do Cipó",-43.419167,-19.409611,NA,1587303208,"Elaeocarpaceae","SPECIES",NA,2007,"PRESERVED_SPECIMEN","USP","SPF",c(-43.419167, -19.409611)
"953","Endlicheria paniculata","BR","Minas Gerais","APA Parque Nacional da Serra do Cipó, Distrito de Santana do Rio Preto (Cabeça de Boi).",-43.432861,-19.431861,NA,1252620251,"Lauraceae","SPECIES",NA,2007,"PRESERVED_SPECIMEN","USP","SPF",c(-43.432861, -19.431861)
"954","Eugenia tenuipedunculata","BR","Minas Gerais","APA Parque Nacional da Serra do Cipó",-43.401944,-19.396111,NA,1264693025,"Myrtaceae","SPECIES",NA,2008,"PRESERVED_SPECIMEN","USP","SPF",c(-43.401944, -19.396111)
"955","Helicostylis tomentosa","BR","Minas Gerais","Santana do Rio Preto, (Cabeça de Boi). APA do Parque Nacional da Serra do Cipó. Terras de José Agostinho, na mata.",-43.402056,-19.396361,NA,1213516276,"Moraceae","SPECIES",NA,2007,"PRESERVED_SPECIMEN","USP","SPF",c(-43.402056, -19.396361)
"956","Senna multijuga","BR","Minas Gerais","APA Morro da Pedreira",-43.432861,-19.431861,NA,1303204619,"Fabaceae","SPECIES",NA,2008,"PRESERVED_SPECIMEN","USP","SPF",c(-43.432861, -19.431861)
"957","Machaerium ruddianum","BR","Minas Gerais","Serra do Cipó",-43.402056,-19.396361,NA,1426768342,"Fabaceae","SPECIES",NA,2008,"PRESERVED_SPECIMEN","USP","SPF",c(-43.402056, -19.396361)
"958","Psychotria carthagenensis","BR","Minas Gerais","APA Parque Nacional da Serra do Cipó",-43.432861,-19.431861,NA,1853953609,"Rubiaceae","SPECIES",NA,2008,"PRESERVED_SPECIMEN","USP","SPF",c(-43.432861, -19.431861)
"959","Myrcia amazonica","BR","Minas Gerais","APA Parque Nacional da Serra do Cipó",-43.401944,-19.396111,NA,1265913094,"Myrtaceae","SPECIES",NA,2007,"PRESERVED_SPECIMEN","USP","SPF",c(-43.401944, -19.396111)
"960","Myrcia splendens","BR","Minas Gerais","APA Parque Nacional da Serra do Cipó",-43.402056,-19.396361,NA,1316167040,"Myrtaceae","SPECIES",NA,2008,"PRESERVED_SPECIMEN","USP","SPF",c(-43.402056, -19.396361)
"961","Solanum cinnamomeum","BR","Minas Gerais","APA Morro da Pedreira",-43.432861,-19.431861,NA,1978403778,"Solanaceae","SPECIES",NA,2008,"PRESERVED_SPECIMEN","USP","SPF",c(-43.432861, -19.431861)
"962","Myrciaria glanduliflora","BR","Minas Gerais","APA Parque Nacional da Serra do Cipó",-43.402056,-19.396361,NA,1316167056,"Myrtaceae","SPECIES",NA,2008,"PRESERVED_SPECIMEN","USP","SPF",c(-43.402056, -19.396361)
"963","Hortia brasiliana","BR","Minas Gerais","APA Parque Nacional da Serra do Cipó",-43.431333,-19.414444,NA,1840928784,"Rutaceae","SPECIES",NA,2007,"PRESERVED_SPECIMEN","USP","SPF",c(-43.431333, -19.414444)
"964","Inga edulis","BR","Minas Gerais","APA Parque Nacional da Serra do Cipó",-43.432861,-19.431861,NA,1316167106,"Fabaceae","SPECIES",NA,2007,"PRESERVED_SPECIMEN","USP","SPF",c(-43.432861, -19.431861)
"965","Jacaranda bracteata","BR","Espírito Santo","Liberdade, Prop.: DeoclécioLorenccini",-40.515737,-19.354207,NA,2565913051,"Bignoniaceae","SPECIES",NA,2006,"PRESERVED_SPECIMEN","USP","SPF",c(-40.515737, -19.354207)
"966","Jacaranda jasminoides","BR","Espírito Santo","Córrego do Trinta (CEIER), Prop.: Alex Sandro",-40.648056,-19.022778,NA,2565913014,"Bignoniaceae","SPECIES",NA,2006,"PRESERVED_SPECIMEN","USP","SPF",c(-40.648056, -19.022778)
"967","Anadenanthera colubrina","BR","Minas Gerais","APA Parque Nacional da Serra do Cipó",-43.431333,-19.414444,NA,1316167144,"Fabaceae","SPECIES",NA,2008,"PRESERVED_SPECIMEN","USP","SPF",c(-43.431333, -19.414444)
"968","Myrcia tenuivenosa","BR","Espírito Santo","Santa Leopoldina. Estação Biológica de Santa Lúcia. Fazenda Caioaba.",-40.533333,-19.533333,NA,1226936863,"Myrtaceae","SPECIES",NA,1990,"PRESERVED_SPECIMEN","USP","SPF",c(-40.533333, -19.533333)
"969","Eremanthus erythropappus","BR","Minas Gerais","Pico do Padre Ângelo, Base do Pico.",-41.578392,-19.307,NA,1275054067,"Asteraceae","SPECIES",NA,2014,"PRESERVED_SPECIMEN","USP","SPF",c(-41.578392, -19.307)
"970","Andira fraxinifolia","BR","Minas Gerais","Serra do Cipó, Distrito de Santana do Rio Preto. Cabeça de Boi. Caminho para o Cachoeirão, após a casa do Zé Fernandes.",-43.433056,-19.424306,NA,1806850068,"Fabaceae","SPECIES",NA,2011,"PRESERVED_SPECIMEN","USP","SPF",c(-43.433056, -19.424306)
"971","Conchocarpus adenantherus","BR","Espírito Santo","Distrito de São João do Petrópolis. Instituto Federal do Espírito Santo - IFES (antiga Escola Agrotécnica de Santa Teresa).",-40.671583,-19.804917,NA,1806850348,"Rutaceae","SPECIES",NA,2010,"PRESERVED_SPECIMEN","USP","SPF",c(-40.671583, -19.804917)
"972","Tovomita leucantha","BR","Minas Gerais","Distrito de Santana do Rio Preto (Cabeça de Boi). Mata do Cachoeirão.",-43.432861,-19.431861,NA,1913599322,"Clusiaceae","SPECIES",NA,2011,"PRESERVED_SPECIMEN","USP","SPF",c(-43.432861, -19.431861)
"973","Cabralea canjerana","BR","Minas Gerais","Pedra do Elefante/APA Morro da Pedreira. Coletado na trilha para a Pedra do Lefante, a partir do riacho da pousada.",-43.553333,-20.216667,NA,1944963707,"Meliaceae","SUBSPECIES",NA,2013,"PRESERVED_SPECIMEN","USP","SPF",c(-43.553333, -20.216667)
"974","Trembleya laniflora","BR","Minas Gerais","Serra do Garimpo",-43.508889,-19.864444,NA,1143410337,"Melastomataceae","SPECIES",NA,1982,"PRESERVED_SPECIMEN","USP","SPF",c(-43.508889, -19.864444)
"975","Pleroma arboreum","BR","Minas Gerais","Rancharia, 15 km S de Outro Preto, camino a Adanta Rita de Ouro Preto.",-43.516667,-20.433333,NA,1143410552,"Melastomataceae","SPECIES",NA,1990,"PRESERVED_SPECIMEN","USP","SPF",c(-43.516667, -20.433333)
"976","Cabralea canjerana","BR","Minas Gerais","Serra do Ouro Branco",-43.640278,-20.51,NA,1226935045,"Meliaceae","SUBSPECIES",NA,1994,"PRESERVED_SPECIMEN","USP","SPF",c(-43.640278, -20.51)
"977","Myrcia retorta","BR","Minas Gerais","Serra do Ouro Branco",-43.6295,-20.502556,NA,1316165428,"Myrtaceae","SPECIES",NA,1995,"PRESERVED_SPECIMEN","USP","SPF",c(-43.6295, -20.502556)
"978","Zeyheria tuberculosa","BR","Minas Gerais","Área da Usina de Providência",-42.665573,-20.455737,NA,2565911612,"Bignoniaceae","SPECIES",NA,1997,"PRESERVED_SPECIMEN","USP","SPF",c(-42.665573, -20.455737)
"979","Myrceugenia alpigena","BR","Minas Gerais","Parque Nacional do Caparaó",-41.816667,-20.416667,NA,1264691551,"Myrtaceae","SPECIES",NA,2000,"PRESERVED_SPECIMEN","USP","SPF",c(-41.816667, -20.416667)
"980","Hortia brasiliana","BR","Minas Gerais","Lagoa Zé de Brito. Floresta Estacional Semi-decidual.",-42.454167,-19.816111,NA,1840928313,"Rutaceae","SPECIES",NA,2003,"PRESERVED_SPECIMEN","USP","SPF",c(-42.454167, -19.816111)
"981","Pogonophora schomburgkiana","BR","Minas Gerais","Parque Estadual do Rio Doce, Lagoa Carioca (Parque Estadual do Rio Doce). Floresta estacional semedicidual.",-42.620278,-19.756111,NA,2243330242,"Peraceae","SPECIES",NA,2003,"PRESERVED_SPECIMEN","USP","SPF",c(-42.620278, -19.756111)
"982","Erythroxylum pelleterianum","BR","Minas Gerais","Parque Estadual do Rio Doce, Lagoa Águas Claras.",-42.5525,-19.797778,NA,1658208240,"Erythroxylaceae","SPECIES",NA,2004,"PRESERVED_SPECIMEN","USP","SPF",c(-42.5525, -19.797778)
"983","Eugenia pruinosa","BR","Espírito Santo","Reserva Natural Vale",-39.928611,-19.234444,NA,1264692871,"Myrtaceae","SPECIES",NA,2008,"PRESERVED_SPECIMEN","USP","SPF",c(-39.928611, -19.234444)
"984","Myrcia multiflora","BR","Minas Gerais","Serra do Ambrósio",-43.038889,-18.107778,NA,1265913067,"Myrtaceae","SPECIES",NA,2006,"PRESERVED_SPECIMEN","USP","SPF",c(-43.038889, -18.107778)
"985","Himatanthus bracteatus","BR","Minas Gerais","Santana do Rio Preto, (Cabeça de Boi). Apa do Parque Nacional da Serra do Cipó. Interior da mata nas terras de José Agostinho.",-43.402056,-19.396361,NA,1090624822,"Apocynaceae","SPECIES",NA,2007,"PRESERVED_SPECIMEN","USP","SPF",c(-43.402056, -19.396361)
"986","Protium brasiliense","BR","Minas Gerais","Santana do Rio Preto, (Cabeça de Boi). APA do Parque Nacional da Serra do Cipó. Mata do Cachoeirão.",-43.432861,-19.431861,NA,1213516305,"Burseraceae","SPECIES",NA,2007,"PRESERVED_SPECIMEN","USP","SPF",c(-43.432861, -19.431861)
"987","Licania belemii","BR","Minas Gerais","APA Morro da Pedreira",-43.432861,-19.431861,NA,1658209016,"Chrysobalanaceae","SPECIES",NA,2008,"PRESERVED_SPECIMEN","USP","SPF",c(-43.432861, -19.431861)
"988","Nectandra nitidula","BR","Minas Gerais","APA Parque Nacional da Serra do Cipó, Distrito de Santana do Rio Preto (Cabeça de Boi).",-43.419167,-19.409611,NA,1252620248,"Lauraceae","SPECIES",NA,2008,"PRESERVED_SPECIMEN","USP","SPF",c(-43.419167, -19.409611)
"989","Eugenia florida","BR","Minas Gerais","APA Parque Nacional da Serra do Cipó",-43.4025,-19.398056,NA,1264693076,"Myrtaceae","SPECIES",NA,2007,"PRESERVED_SPECIMEN","USP","SPF",c(-43.4025, -19.398056)
"990","Mouriri glazioviana","BR","Minas Gerais","Serra do Cipó, Distrito de Santana do Rio Preto (Cabeça de Boi). APA do Parque Nacional da Serra do Cipó. Terras de José Agostinho, na mata.",-43.402056,-19.396361,NA,1090624817,"Melastomataceae","SPECIES",NA,2007,"PRESERVED_SPECIMEN","USP","SPF",c(-43.402056, -19.396361)
"991","Sorocea guilleminiana","BR","Minas Gerais","Santana do Rio Preto, (Cabeça de Boi). APA do Parque Nacional da Serra do Cipó. Borda da Mata nas terras do Nem.",-43.401611,-19.397,NA,1213516294,"Moraceae","SPECIES",NA,2007,"PRESERVED_SPECIMEN","USP","SPF",c(-43.401611, -19.397)
"992","Andira ormosioides","BR","Minas Gerais","APA Parque Nacional da Serra do Cipó",-43.419167,-19.409611,NA,1316167041,"Fabaceae","SPECIES",NA,2007,"PRESERVED_SPECIMEN","USP","SPF",c(-43.419167, -19.409611)
"993","Bathysa nicholsonii","BR","Minas Gerais","APA Parque Nacional da Serra do Cipó.",-43.431333,-19.414444,NA,1853953554,"Rubiaceae","SPECIES",NA,2007,"PRESERVED_SPECIMEN","USP","SPF",c(-43.431333, -19.414444)
"994","Cassia ferruginea","BR","Minas Gerais","Parque Nacional da Serra do Cipó",-43.402056,-19.396361,NA,1303204607,"Fabaceae","SPECIES",NA,2008,"PRESERVED_SPECIMEN","USP","SPF",c(-43.402056, -19.396361)
"995","Coussapoa microcarpa","BR","Minas Gerais","APA Morro da Pedreira, (Cabeça de Boi). APA do Parque Nacional da Serra do Cipó. Margem do Córrego Cipó, à meia altura da serra.",-43.431333,-19.414444,NA,1702650678,"Urticaceae","SPECIES",NA,2008,"PRESERVED_SPECIMEN","USP","SPF",c(-43.431333, -19.414444)
"996","Casearia obliqua","BR","Minas Gerais","APA Parque Nacional da Serra do Cipó",-43.431333,-19.414444,NA,1676472803,"Salicaceae","SPECIES",NA,2007,"PRESERVED_SPECIMEN","USP","SPF",c(-43.431333, -19.414444)
"997","Plathymenia reticulata","BR","Minas Gerais","Serra do Cipó",-43.401611,-19.397,NA,1316167126,"Fabaceae","SPECIES",NA,2008,"PRESERVED_SPECIMEN","USP","SPF",c(-43.401611, -19.397)
"998","Myrcia multiflora","BR","Minas Gerais","Serra do Caraça",-43.494111,-20.090917,NA,1265913180,"Myrtaceae","SPECIES",NA,2009,"PRESERVED_SPECIMEN","USP","SPF",c(-43.494111, -20.090917)
"999","Beilschmiedia vestita","BR","Minas Gerais","APA Morro da Pedreira, Distrito Santana do Rio Preto (Cabeça de Boi). APA do Parque Nacional da Serra do Cipó. Mata do Cachoeirão, na borda.",-43.432861,-19.431861,NA,1090624950,"Lauraceae","SPECIES",NA,2008,"PRESERVED_SPECIMEN","USP","SPF",c(-43.432861, -19.431861)
"1000","Guatteria campestris","BR","Minas Gerais","Estação Ambiental de Peti",-43.366667,-19.883333,NA,1226937112,"Annonaceae","SPECIES",NA,2003,"PRESERVED_SPECIMEN","USP","SPF",c(-43.366667, -19.883333)
"1001","Solanum latiflorum","BR","Minas Gerais","Serra da Macieira, Área do ICMBIO. Topo da Serra.",-41.821389,-20.040833,NA,1252621139,"Solanaceae","SPECIES",NA,2010,"PRESERVED_SPECIMEN","USP","SPF",c(-41.821389, -20.040833)
"1002","Eremanthus incanus","BR","Minas Gerais","Pico da Aliança, Base do pico.",-41.680914,-19.408733,NA,1275054062,"Asteraceae","SPECIES",NA,2014,"PRESERVED_SPECIMEN","USP","SPF",c(-41.680914, -19.408733)
"1003","Abarema villosa","BR","Minas Gerais","Serra do Cipó, Distrito de Santana do Rio Preto. Cabeça de Boi. Terras de José Agostinho.",-43.401639,-19.395944,NA,1806849932,"Fabaceae","SPECIES",NA,2011,"PRESERVED_SPECIMEN","USP","SPF",c(-43.401639, -19.395944)
"1004","Myrcia splendens","BR","Minas Gerais","Pico do Padre Ângelo",-41.576306,-19.31275,NA,2027491578,"Myrtaceae","SPECIES",NA,2016,"PRESERVED_SPECIMEN","USP","SPF",c(-41.576306, -19.31275)
"1005","Roupala montana","BR","Minas Gerais","Rabcharia, 15 km S de Ouro Preto.",-43.516667,-20.433333,NA,1303201457,"Proteaceae","SPECIES",NA,1990,"PRESERVED_SPECIMEN","USP","SPF",c(-43.516667, -20.433333)
"1006","Angostura bracteata","BR","Espírito Santo","Morro Grande",-41.166667,-20.25,NA,1840927666,"Rutaceae","SPECIES",NA,1995,"PRESERVED_SPECIMEN","USP","SPF",c(-41.166667, -20.25)
"1007","Rauia resinosa","BR","Espírito Santo","Patch of diturbed forest on Fazenda Santa Antonio, on dirt road turning +/- S at 18 km from bridge at W edge of Linhares on road to Bananal. ca. 19º16'S - 19º17'S, 40º10'W - 40º11'W.&nf;Trees within forest.",-40.166667,-19.266667,NA,1853949851,"Rutaceae","SPECIES",NA,1995,"PRESERVED_SPECIMEN","USP","SPF",c(-40.166667, -19.266667)
"1008","Centrolobium microchaete","BR","Minas Gerais","Estação Biológica de Caratinga",-41.833333,-19.833333,NA,1324589091,"Fabaceae","SPECIES",NA,1999,"PRESERVED_SPECIMEN","USP","SPF",c(-41.833333, -19.833333)
"1009","Machaerium brasiliense","BR","Minas Gerais","Parque Estadual do Rio Doce",-42.633333,-19.8,NA,1426768139,"Fabaceae","SPECIES",NA,1999,"PRESERVED_SPECIMEN","USP","SPF",c(-42.633333, -19.8)
"1010","Tachigali paratyensis","BR","Minas Gerais","Estância dos Jequitibás",-42.741667,-19.651667,NA,1316166032,"Fabaceae","SPECIES",NA,2003,"PRESERVED_SPECIMEN","USP","SPF",c(-42.741667, -19.651667)
"1011","Ocotea lancifolia","BR","Minas Gerais","RPPN Santuário do Caraça",-43.470361,-20.123639,NA,1252618854,"Lauraceae","SPECIES",NA,2003,"PRESERVED_SPECIMEN","USP","SPF",c(-43.470361, -20.123639)
"1012","Myrcia mischophylla","BR","Minas Gerais","Estação Ambiental de Peti",-43.35,-19.883333,NA,1265912611,"Myrtaceae","SPECIES",NA,2002,"PRESERVED_SPECIMEN","USP","SPF",c(-43.35, -19.883333)
"1013","Pachystroma longifolium","BR","Minas Gerais","Parque Estadual do Rio Doce, Lago dos Patos (Mumbaça).",-42.539444,-19.806111,NA,2577378018,"Euphorbiaceae","SPECIES",NA,2004,"PRESERVED_SPECIMEN","USP","SPF",c(-42.539444, -19.806111)
"1014","Schizocalyx cuspidatus","BR","Minas Gerais","Parque Estadual do Rio Doce",-42.568611,-19.591111,NA,1853952158,"Rubiaceae","SPECIES",NA,2004,"PRESERVED_SPECIMEN","USP","SPF",c(-42.568611, -19.591111)
"1015","Myrciaria glanduliflora","BR","Minas Gerais","Serra do Cipó",-43.33195,-19.1542,NA,1316166541,"Myrtaceae","SPECIES",NA,2007,"PRESERVED_SPECIMEN","USP","SPF",c(-43.33195, -19.1542)
"1016","Macairea radula","BR","Minas Gerais","Itapanhoacanga",-43.436111,-18.805,NA,1090624178,"Melastomataceae","SPECIES",NA,2007,"PRESERVED_SPECIMEN","USP","SPF",c(-43.436111, -18.805)
"1017","Protium spruceanum","BR","Minas Gerais","Itapanhoacanga. Cachoeira Campinas, 3.2 km de Itapanhoacanga. Riacho entre rochas e pequeno campo rupestre em região de mata, agora derrubada.",-43.436111,-18.805,NA,1213516175,"Burseraceae","SPECIES",NA,2007,"PRESERVED_SPECIMEN","USP","SPF",c(-43.436111, -18.805)
"1018","Protium warmingianum","BR","Espírito Santo","(Água Viva, Pedra do Cruzeiro). Prop.: Aguilar A. Lorenccini. Interio da Mata.",-40.549167,-19.345833,NA,1213516235,"Burseraceae","SPECIES",NA,2007,"PRESERVED_SPECIMEN","USP","SPF",c(-40.549167, -19.345833)
"1019","Astronium concinnum","BR","Espírito Santo","Morello. Prop. Fernando Nicolli.",-40.4575,-19.148333,NA,1090624696,"Anacardiaceae","SPECIES",NA,2006,"PRESERVED_SPECIMEN","USP","SPF",c(-40.4575, -19.148333)
"1020","Siparuna guianensis","BR","Espírito Santo","Comunidade São Pedro. Propriedade do sr. João Ferreira, Pedra da Bandeira.",-40.651111,-18.968056,NA,1213516266,"Siparunaceae","SPECIES",NA,2008,"PRESERVED_SPECIMEN","USP","SPF",c(-40.651111, -18.968056)
